,synid,class_name,urls,flickr_urls,imageNet2012_class_id
7,n00021265,food,1272,1239,582.0
32,n00442847,dip,1716,984,20.0
33,n00442981,dive,659,530,983.0
72,n00449295,racing,1250,1019,751.0
120,n00466880,croquet,1166,681,522.0
126,n00468480,football,1815,921,560.0
131,n00470966,rugby,1732,669,768.0
147,n00476389,cricket,1269,880,312.0
151,n00478262,soccer,1395,1366,805.0
157,n00480211,volleyball,1735,566,890.0
161,n00480993,basketball,1838,768,430.0
165,n00482298,tennis,1837,683,852.0
173,n00523513,sport,1888,594,817.0
196,n01317813,feeder,1365,1155,319.0
197,n01317916,feeder,782,674,319.0
201,n01318478,migrator,118,17,15.0
210,n01321230,male,908,502,249.0
216,n01322343,pup,1229,679,29.0
218,n01322604,puppy,1386,704,29.0
219,n01322685,cub,1270,916,983.0
321,n01403457,kelp,3,2,227.0
359,n01440764,tench,1133,375,0.0
364,n01442450,roach,66,31,314.0
365,n01442710,rudd,347,33,139.0
368,n01443537,goldfish,1172,664,1.0
460,n01484850,great white shark,1242,1203,2.0
462,n01486010,thresher,385,73,856.0
475,n01491361,tiger shark,1019,780,3.0
486,n01494475,hammerhead,1094,771,4.0
492,n01496331,electric ray,967,328,5.0
496,n01498041,stingray,1364,1351,6.0
525,n01518878,ostrich,1393,975,9.0
547,n01530575,brambling,1488,670,10.0
548,n01531178,goldfinch,1379,1237,11.0
549,n01531344,linnet,1148,637,12.0
556,n01532829,house finch,1487,1353,12.0
560,n01533651,serin,951,466,14.0
563,n01534433,junco,1456,1415,13.0
574,n01537134,bunting,1544,1392,14.0
575,n01537544,indigo bunting,1296,1058,14.0
641,n01558993,robin,1329,1106,15.0
648,n01560419,bulbul,1036,878,16.0
656,n01562265,robin,1208,1039,15.0
717,n01579028,crow,1200,1187,651.0
723,n01580077,jay,1257,1253,17.0
733,n01582220,magpie,1402,1368,18.0
752,n01587834,thrasher,1107,862,856.0
765,n01592084,chickadee,1408,1376,19.0
801,n01601694,water ouzel,1028,706,20.0
813,n01605630,hawk,1826,1680,319.0
826,n01608432,kite,1166,779,21.0
852,n01614925,bald eagle,1263,1126,22.0
858,n01616318,vulture,1418,1284,23.0
878,n01622779,great grey owl,1117,940,24.0
892,n01627424,amphibian,1237,1158,408.0
896,n01629819,European fire salamander,1153,732,25.0
897,n01629962,spotted salamander,1174,524,28.0
899,n01630284,newt,1193,1165,26.0
900,n01630670,common newt,1033,239,26.0
905,n01631663,eft,1033,694,27.0
908,n01632458,spotted salamander,1077,592,28.0
910,n01632777,axolotl,1023,525,29.0
915,n01634522,mud puppy,84,6,29.0
935,n01641577,bullfrog,1192,947,30.0
946,n01644373,tree frog,1225,958,31.0
947,n01644900,tailed frog,1095,169,32.0
951,n01646388,agua,782,264,290.0
994,n01664065,loggerhead,1208,851,33.0
999,n01665541,leatherback turtle,969,579,34.0
1003,n01667114,mud turtle,940,570,35.0
1005,n01667778,terrapin,1056,724,36.0
1009,n01668892,cooter,1213,439,670.0
1010,n01669191,box turtle,1328,1254,37.0
1013,n01670092,tortoise,1221,1202,37.0
1025,n01674990,gecko,1347,1154,38.0
1027,n01675722,banded gecko,679,214,38.0
1029,n01677366,common iguana,1290,1073,39.0
1048,n01682714,American chameleon,999,836,40.0
1055,n01685808,whiptail,891,423,41.0
1064,n01687978,agama,1121,766,42.0
1065,n01688243,frilled lizard,669,376,43.0
1069,n01689811,alligator lizard,902,678,44.0
1075,n01692333,Gila monster,1119,711,45.0
1079,n01693334,green lizard,1242,1227,46.0
1081,n01694178,African chameleon,992,297,47.0
1083,n01694709,monitor,1419,1253,664.0
1085,n01695060,Komodo dragon,1557,1506,48.0
1087,n01697178,crocodile,1322,1300,49.0
1088,n01697457,African crocodile,1188,775,49.0
1093,n01698640,American alligator,1262,1176,50.0
1106,n01704323,triceratops,1110,814,51.0
1143,n01728572,thunder snake,809,431,52.0
1144,n01728920,ringneck snake,921,519,53.0
1145,n01729322,hognose snake,1282,769,54.0
1147,n01729977,green snake,1192,1173,55.0
1150,n01730563,green snake,1252,1117,55.0
1151,n01730812,racer,1133,761,751.0
1168,n01734418,king snake,1042,691,56.0
1171,n01735189,garter snake,1296,977,57.0
1178,n01737021,water snake,910,782,58.0
1187,n01739381,vine snake,701,421,59.0
1190,n01740131,night snake,757,480,60.0
1195,n01741562,constrictor,1279,1090,61.0
1197,n01742172,boa constrictor,1148,793,61.0
1201,n01743605,python,1478,1358,62.0
1205,n01744401,rock python,1004,457,62.0
1215,n01747885,cobra,1030,691,63.0
1216,n01748264,Indian cobra,1014,456,63.0
1217,n01748389,asp,481,74,66.0
1221,n01749582,mamba,1017,663,64.0
1223,n01749939,green mamba,884,564,64.0
1230,n01751748,sea snake,1108,735,65.0
1232,n01752585,adder,1236,777,54.0
1233,n01752736,asp,1110,241,66.0
1234,n01753032,puff adder,1015,344,54.0
1236,n01753488,horned viper,933,356,66.0
1241,n01755581,diamondback,1207,780,67.0
1245,n01756291,sidewinder,1186,381,68.0
1255,n01758895,carrion,203,103,994.0
1257,n01768244,trilobite,1353,1012,69.0
1259,n01770081,harvestman,1040,764,70.0
1260,n01770393,scorpion,1197,906,71.0
1267,n01773157,black and gold garden spider,1029,754,72.0
1268,n01773549,barn spider,743,404,73.0
1271,n01774384,black widow,1272,1052,75.0
1272,n01774750,tarantula,1597,1410,76.0
1273,n01775062,wolf spider,1413,1376,77.0
1303,n01784675,centipede,1332,1148,79.0
1324,n01791625,chicken,1210,1160,83.0
1344,n01795545,black grouse,691,138,80.0
1349,n01796340,ptarmigan,1074,831,81.0
1355,n01797886,ruffed grouse,1238,910,82.0
1357,n01798484,prairie chicken,854,384,83.0
1361,n01799302,guan,400,201,39.0
1384,n01806143,peacock,1501,1426,84.0
1388,n01806567,quail,1263,1154,85.0
1427,n01817953,African grey,1170,1006,87.0
1429,n01818515,macaw,1530,1363,88.0
1431,n01819115,cockatoo,1363,1306,89.0
1432,n01819313,sulphur-crested cockatoo,1380,1326,89.0
1437,n01820546,lorikeet,1522,1497,90.0
1450,n01824575,coucal,1061,711,91.0
1461,n01828970,bee eater,1249,1009,92.0
1462,n01829413,hornbill,1167,1045,93.0
1474,n01833805,hummingbird,1361,1291,94.0
1502,n01843065,jacamar,1011,613,95.0
1503,n01843383,toucan,1109,993,96.0
1511,n01846331,duck,1642,1622,103.0
1512,n01847000,drake,1266,1257,97.0
1549,n01854415,merganser,1297,1291,98.0
1552,n01855032,red-breasted merganser,1059,676,98.0
1567,n01858441,swan,1314,1279,100.0
1577,n01860187,black swan,1349,1021,100.0
1584,n01871265,tusker,1064,731,101.0
1587,n01872401,echidna,1336,921,102.0
1588,n01872772,echidna,1309,898,102.0
1589,n01873310,platypus,1078,576,103.0
1599,n01877812,wallaby,1599,1170,104.0
1615,n01882714,koala,2469,1879,105.0
1616,n01883070,wombat,1222,618,106.0
1634,n01888411,doe,1259,964,48.0
1652,n01893825,hedgehog,1615,738,334.0
1679,n01909906,polyp,1166,921,116.0
1681,n01910747,jellyfish,1635,1260,107.0
1692,n01914609,sea anemone,1614,1071,108.0
1701,n01917289,brain coral,1557,974,109.0
1710,n01922717,helminth,130,12,110.0
1716,n01924916,flatworm,746,561,110.0
1729,n01930112,nematode,745,439,111.0
1757,n01943899,conch,1430,808,112.0
1759,n01944390,snail,1837,1390,113.0
1777,n01950731,sea slug,2211,1283,115.0
1786,n01955084,chiton,971,662,116.0
1788,n01956344,spat,847,639,813.0
1800,n01960459,oyster,828,528,143.0
1822,n01968897,chambered nautilus,933,469,117.0
1841,n01978287,Dungeness crab,1214,1011,118.0
1842,n01978455,rock crab,1215,814,119.0
1848,n01980166,fiddler crab,1182,879,120.0
1850,n01981276,king crab,1019,637,121.0
1856,n01983481,American lobster,1123,631,122.0
1860,n01984695,spiny lobster,1091,757,123.0
1864,n01986214,hermit crab,1430,1242,125.0
1876,n01990800,isopod,713,296,126.0
1897,n02002556,white stork,1174,1005,127.0
1898,n02002724,black stork,1062,560,128.0
1910,n02006656,spoonbill,1292,1107,129.0
1913,n02007558,flamingo,1252,1242,130.0
1916,n02008643,great white heron,1231,823,132.0
1917,n02008796,egret,1310,1284,132.0
1918,n02009229,little blue heron,1373,1025,131.0
1921,n02009750,great white heron,1338,955,132.0
1922,n02009912,American egret,1424,874,132.0
1928,n02011460,bittern,1232,1143,133.0
1935,n02013706,limpkin,1183,737,135.0
1943,n02016358,gallinule,1193,983,136.0
1947,n02017213,European gallinule,1270,896,136.0
1951,n02018207,American coot,1227,1129,137.0
1953,n02018795,bustard,1220,850,138.0
1969,n02025043,turnstone,1387,1164,139.0
1970,n02025239,ruddy turnstone,1307,1082,139.0
1972,n02026059,sandpiper,1170,1036,140.0
1977,n02027492,red-backed sandpiper,1457,1108,140.0
1979,n02028035,redshank,1416,927,141.0
1984,n02028900,knot,1376,624,616.0
1988,n02030035,ruff,1324,680,82.0
2001,n02033041,dowitcher,1166,713,142.0
2017,n02037110,oystercatcher,1453,1307,143.0
2058,n02049088,loon,1187,1003,417.0
2067,n02051845,pelican,1246,1147,144.0
2079,n02055803,penguin,1281,1254,145.0
2081,n02056570,king penguin,2022,1220,145.0
2087,n02058221,albatross,1690,1034,146.0
2112,n02066245,grey whale,1356,653,147.0
2127,n02071028,grampus,348,83,148.0
2128,n02071294,killer whale,1312,668,148.0
2135,n02074367,dugong,1018,211,149.0
2147,n02077923,sea lion,1297,781,150.0
2174,n02085620,Chihuahua,1750,1303,151.0
2175,n02085782,Japanese spaniel,385,12,152.0
2176,n02085936,Maltese dog,1287,931,153.0
2177,n02086079,Pekinese,1598,1291,154.0
2178,n02086240,Shih-Tzu,2563,1933,155.0
2181,n02086646,Blenheim spaniel,971,293,156.0
2183,n02086910,papillon,1406,449,157.0
2184,n02087046,toy terrier,640,354,158.0
2185,n02087122,hunting dog,1222,837,275.0
2187,n02087394,Rhodesian ridgeback,2449,1931,159.0
2189,n02088094,Afghan hound,1134,777,160.0
2190,n02088238,basset,1660,1078,161.0
2191,n02088364,beagle,1788,1051,162.0
2192,n02088466,bloodhound,1161,624,163.0
2193,n02088632,bluetick,537,217,164.0
2195,n02088839,coonhound,1411,786,165.0
2197,n02089078,black-and-tan coonhound,435,68,165.0
2202,n02089867,Walker hound,364,68,166.0
2203,n02089973,English foxhound,454,48,167.0
2206,n02090379,redbone,836,461,168.0
2208,n02090622,borzoi,1107,770,169.0
2209,n02090721,Irish wolfhound,1278,805,170.0
2210,n02090827,greyhound,1633,1306,171.0
2211,n02091032,Italian greyhound,1281,980,171.0
2212,n02091134,whippet,1656,1204,172.0
2213,n02091244,Ibizan hound,1140,253,173.0
2214,n02091467,Norwegian elkhound,1108,571,174.0
2215,n02091635,otterhound,396,13,175.0
2216,n02091831,Saluki,1087,649,176.0
2217,n02092002,Scottish deerhound,1333,906,177.0
2219,n02092339,Weimaraner,1722,1251,178.0
2221,n02093056,bullterrier,1228,851,179.0
2222,n02093256,Staffordshire bullterrier,2070,1407,179.0
2223,n02093428,American Staffordshire terrier,1329,707,180.0
2224,n02093647,Bedlington terrier,849,259,181.0
2225,n02093754,Border terrier,1545,1141,182.0
2226,n02093859,Kerry blue terrier,937,197,183.0
2227,n02093991,Irish terrier,1283,640,184.0
2228,n02094114,Norfolk terrier,1000,327,185.0
2229,n02094258,Norwich terrier,1127,336,186.0
2230,n02094433,Yorkshire terrier,3047,2229,187.0
2234,n02095050,fox terrier,894,543,188.0
2236,n02095314,wire-haired fox terrier,536,50,188.0
2238,n02095570,Lakeland terrier,1042,457,189.0
2240,n02095889,Sealyham terrier,623,38,190.0
2241,n02096051,Airedale,1208,707,191.0
2242,n02096177,cairn,1377,1021,192.0
2243,n02096294,Australian terrier,1079,529,193.0
2244,n02096437,Dandie Dinmont,915,243,194.0
2245,n02096585,Boston bull,1494,1013,195.0
2247,n02097047,miniature schnauzer,1324,944,196.0
2248,n02097130,giant schnauzer,1289,564,197.0
2249,n02097209,standard schnauzer,1040,203,198.0
2250,n02097298,Scotch terrier,1274,880,199.0
2251,n02097474,Tibetan terrier,774,398,200.0
2252,n02097658,silky terrier,1303,1054,201.0
2255,n02098105,soft-coated wheaten terrier,1580,812,202.0
2256,n02098286,West Highland white terrier,1574,1054,203.0
2257,n02098413,Lhasa,1497,1146,204.0
2262,n02099267,flat-coated retriever,1342,1012,205.0
2263,n02099429,curly-coated retriever,727,78,206.0
2264,n02099601,golden retriever,1607,1007,207.0
2265,n02099712,Labrador retriever,1846,1015,208.0
2266,n02099849,Chesapeake Bay retriever,2143,1365,209.0
2268,n02100236,German short-haired pointer,846,234,210.0
2270,n02100583,vizsla,2334,1930,211.0
2271,n02100735,English setter,2426,1895,212.0
2272,n02100877,Irish setter,1425,1093,213.0
2273,n02101006,Gordon setter,1264,863,214.0
2275,n02101388,Brittany spaniel,1489,904,215.0
2276,n02101556,clumber,1035,310,216.0
2279,n02102040,English springer,1458,1076,217.0
2280,n02102177,Welsh springer spaniel,1084,392,218.0
2281,n02102318,cocker spaniel,1606,1262,219.0
2282,n02102480,Sussex spaniel,1069,92,220.0
2283,n02102605,water spaniel,972,322,221.0
2285,n02102973,Irish water spaniel,587,111,221.0
2286,n02103181,griffon,153,101,262.0
2289,n02104029,kuvasz,1263,240,222.0
2292,n02104365,schipperke,1506,896,223.0
2293,n02104523,shepherd dog,1478,965,235.0
2295,n02105056,groenendael,1329,396,224.0
2296,n02105162,malinois,1580,889,225.0
2297,n02105251,briard,1207,583,226.0
2298,n02105412,kelpie,1256,679,227.0
2299,n02105505,komondor,922,112,228.0
2300,n02105641,Old English sheepdog,1280,564,229.0
2301,n02105855,Shetland sheepdog,1620,1198,230.0
2303,n02106166,Border collie,1469,1089,232.0
2304,n02106382,Bouvier des Flandres,1470,281,233.0
2305,n02106550,Rottweiler,1226,768,234.0
2306,n02106662,German shepherd,1741,1235,235.0
2307,n02106854,police dog,1186,561,235.0
2309,n02107142,Doberman,1646,1335,236.0
2310,n02107312,miniature pinscher,1884,1411,237.0
2312,n02107574,Greater Swiss Mountain dog,1207,462,238.0
2313,n02107683,Bernese mountain dog,1238,965,239.0
2314,n02107908,Appenzeller,1188,402,240.0
2315,n02108000,EntleBucher,447,41,241.0
2316,n02108089,boxer,1777,1427,242.0
2318,n02108422,bull mastiff,1080,372,243.0
2319,n02108551,Tibetan mastiff,1419,654,244.0
2320,n02108672,bulldog,1480,892,245.0
2321,n02108915,French bulldog,2297,1699,245.0
2322,n02109047,Great Dane,1575,983,246.0
2326,n02109525,Saint Bernard,1555,1178,247.0
2329,n02109961,Eskimo dog,1542,1208,248.0
2330,n02110063,malamute,1634,1070,249.0
2331,n02110185,Siberian husky,1296,819,250.0
2332,n02110341,dalmatian,1414,1127,251.0
2334,n02110627,affenpinscher,796,135,252.0
2335,n02110806,basenji,1845,1359,253.0
2336,n02110958,pug,1261,918,254.0
2337,n02111129,Leonberg,1106,282,255.0
2338,n02111277,Newfoundland,1714,1407,256.0
2339,n02111500,Great Pyrenees,1358,716,257.0
2341,n02111889,Samoyed,1648,998,258.0
2342,n02112018,Pomeranian,1613,1202,259.0
2343,n02112137,chow,1233,779,260.0
2344,n02112350,keeshond,1306,718,261.0
2345,n02112497,griffon,1166,878,262.0
2346,n02112706,Brabancon griffon,277,88,262.0
2348,n02113023,Pembroke,1436,1116,263.0
2349,n02113186,Cardigan,1460,947,264.0
2351,n02113624,toy poodle,1833,1055,265.0
2352,n02113712,miniature poodle,716,497,266.0
2353,n02113799,standard poodle,1956,1502,267.0
2355,n02113978,Mexican hairless,272,95,268.0
2357,n02114367,timber wolf,1820,994,269.0
2358,n02114548,white wolf,977,660,270.0
2359,n02114712,red wolf,1156,725,271.0
2360,n02114855,coyote,1664,925,272.0
2364,n02115641,dingo,1262,751,273.0
2365,n02115913,dhole,726,222,274.0
2368,n02116738,African hunting dog,1160,670,275.0
2381,n02119634,kit fox,862,367,278.0
2382,n02119789,kit fox,829,559,278.0
2383,n02120079,Arctic fox,1030,512,279.0
2385,n02120505,grey fox,1074,534,280.0
2395,n02122878,tabby,1262,1240,281.0
2397,n02123045,tabby,1525,1230,281.0
2398,n02123159,tiger cat,1424,1257,282.0
2400,n02123394,Persian cat,1662,1294,283.0
2401,n02123478,Angora,1083,400,332.0
2402,n02123597,Siamese cat,1739,1434,284.0
2405,n02124075,Egyptian cat,977,588,285.0
2406,n02124157,Maltese,1,0,153.0
2412,n02125311,cougar,1457,918,286.0
2421,n02127052,lynx,1452,942,287.0
2431,n02128757,snow leopard,1568,1287,289.0
2432,n02128925,jaguar,1514,866,290.0
2441,n02130308,cheetah,1427,972,293.0
2445,n02132136,brown bear,1774,883,294.0
2446,n02132320,bruin,299,40,294.0
2450,n02133161,American black bear,1354,972,295.0
2453,n02134084,ice bear,1929,1197,296.0
2454,n02134418,sloth bear,1106,828,297.0
2465,n02137549,mongoose,1207,983,298.0
2469,n02138441,meerkat,2341,1955,299.0
2522,n02159955,insect,1699,1318,313.0
2532,n02165105,tiger beetle,1168,872,300.0
2533,n02165456,ladybug,1923,1868,301.0
2538,n02167151,ground beetle,1077,607,302.0
2544,n02168699,long-horned beetle,1007,476,303.0
2547,n02169497,leaf beetle,1313,1261,304.0
2557,n02172182,dung beetle,1138,956,305.0
2565,n02174001,rhinoceros beetle,1216,751,306.0
2578,n02177972,weevil,1329,1223,307.0
2722,n02226429,grasshopper,1482,1432,311.0
2731,n02229544,cricket,1308,1221,312.0
2738,n02231487,walking stick,1393,1380,313.0
2741,n02233338,cockroach,1157,908,314.0
2747,n02236044,mantis,1499,1424,315.0
2749,n02236355,bug,1144,920,301.0
2810,n02256656,cicada,1227,1172,316.0
2818,n02259212,leafhopper,1400,1357,317.0
2833,n02264363,lacewing,1363,986,318.0
2844,n02268443,dragonfly,2113,1584,319.0
2845,n02268853,damselfly,1617,941,320.0
2867,n02276258,admiral,1325,1143,321.0
2874,n02277742,ringlet,1659,881,322.0
2880,n02279257,peacock,2093,1272,84.0
2882,n02279972,monarch,2386,1644,323.0
2884,n02280649,cabbage butterfly,1670,1296,324.0
2888,n02281406,sulphur butterfly,1355,720,325.0
2889,n02281787,lycaenid,1507,1127,326.0
2993,n02311060,larva,1234,1150,376.0
3008,n02317335,starfish,1396,1325,327.0
3012,n02319095,sea urchin,1186,1021,328.0
3019,n02321529,sea cucumber,1167,988,329.0
3029,n02325366,wood rabbit,1280,816,330.0
3033,n02326432,hare,1113,589,331.0
3042,n02328150,Angora,1103,708,332.0
3091,n02342885,hamster,1210,946,333.0
3106,n02346627,porcupine,1147,739,334.0
3138,n02356798,fox squirrel,1141,308,335.0
3159,n02361337,marmot,1580,984,336.0
3164,n02363005,beaver,1239,519,337.0
3169,n02364673,guinea pig,1633,1264,338.0
3206,n02377291,stud,1436,574,831.0
3218,n02378969,hack,1413,974,468.0
3225,n02379908,Arabian,1528,1021,354.0
3240,n02382132,hack,709,418,468.0
3241,n02382204,hack,1296,1050,468.0
3250,n02384858,racer,32,18,751.0
3277,n02388735,chestnut,1356,931,990.0
3280,n02389026,sorrel,1258,470,339.0
3296,n02391049,zebra,1474,988,340.0
3301,n02391994,rhinoceros,1496,1052,306.0
3318,n02396427,wild boar,1289,583,342.0
3320,n02397096,warthog,1448,936,343.0
3324,n02398521,hippopotamus,1391,940,344.0
3366,n02408429,water buffalo,1250,919,346.0
3375,n02410509,bison,1625,1111,347.0
3406,n02415577,bighorn,1315,748,349.0
3415,n02417387,Angora,1460,684,332.0
3419,n02417914,ibex,1500,587,350.0
3430,n02421449,gnu,1325,790,100.0
3432,n02422106,hartebeest,1254,417,351.0
3434,n02422699,impala,1441,743,352.0
3462,n02430045,deer,1680,1062,177.0
3463,n02430559,stag,1115,658,819.0
3468,n02431337,hart,1158,661,351.0
3477,n02432983,elk,1336,861,174.0
3493,n02437312,Arabian camel,1246,665,354.0
3495,n02437616,llama,1304,957,355.0
3503,n02441942,weasel,1003,589,356.0
3509,n02442845,mink,803,463,357.0
3512,n02443346,ferret,1406,979,359.0
3513,n02443484,black-footed ferret,999,721,359.0
3521,n02445715,skunk,1061,679,361.0
3526,n02447366,badger,1290,784,362.0
3546,n02454379,armadillo,1282,718,363.0
3554,n02457408,three-toed sloth,1069,442,364.0
3559,n02460009,anteater,1351,1046,102.0
3600,n02480495,orangutan,1859,1306,365.0
3601,n02480855,gorilla,1915,1653,366.0
3606,n02481823,chimpanzee,1502,1113,367.0
3612,n02483362,gibbon,1255,809,368.0
3613,n02483708,siamang,1182,836,369.0
3616,n02484975,guenon,731,493,370.0
3622,n02486261,patas,930,529,371.0
3623,n02486410,baboon,1635,1242,372.0
3627,n02487347,macaque,1591,1173,373.0
3632,n02488291,langur,1470,940,374.0
3634,n02488702,colobus,1366,986,375.0
3636,n02489166,proboscis monkey,846,526,376.0
3638,n02490219,marmoset,1460,981,377.0
3644,n02492035,capuchin,1189,727,378.0
3646,n02492660,howler monkey,1474,1062,379.0
3649,n02493509,titi,710,434,380.0
3650,n02493793,spider monkey,1348,1063,381.0
3651,n02494079,squirrel monkey,1435,1078,382.0
3655,n02496913,lemur,1376,987,383.0
3656,n02497673,Madagascar cat,1670,1385,383.0
3663,n02500267,indri,1002,372,384.0
3673,n02504013,Indian elephant,1650,845,385.0
3674,n02504458,African elephant,2277,1891,386.0
3689,n02509815,lesser panda,1686,1415,387.0
3690,n02510455,giant panda,1832,1548,388.0
3702,n02514041,barracouta,1023,180,389.0
3720,n02522399,cod,642,238,49.0
3761,n02534734,salmon,1349,599,391.0
3769,n02536864,coho,1124,684,391.0
3776,n02538406,char,432,97,2.0
3825,n02560110,snook,1222,554,736.0
3910,n02588286,grunt,1166,677,341.0
3971,n02606052,rock beauty,562,169,392.0
3974,n02607072,anemone fish,1319,1209,393.0
4040,n02630739,billfish,587,125,395.0
4065,n02640242,sturgeon,981,449,394.0
4073,n02643566,lionfish,1513,1401,396.0
